0.262,0.262,0.054
0.078,0.191,0.044
0.136,0.166,0.055
0.072,0.095,0.028
0.121,0.2,0.059
0.139,0.29,0.056
0.143,0.308,0.091
0.084,0.155,0.054
0.251,0.234,0.039
0.103,0.199,0.03
0.169,0.186,0.04
0.071,0.183,0.071
0.123,0.179,0.072
0.085,0.122,0.04
0.081,0.172,0.048
0.144,0.341,0.062
0.058,0.168,0.048
0.035,0.062,0.022
0.223,0.284,0.051
0.078,0.102,0.025
0.229,0.215,0.026
0.084,0.19,0.021
0.11,0.161,0.024
0.095,0.099,0.017
0.122,0.196,0.034
0.149,0.303,0.031
0.092,0.189,0.046
0.06,0.113,0.027
0.315,0.331,0.035
0.147,0.178,0.025
